page,line,word_count
1,1,2
1,2,5
1,3,5
1,4,7
1,5,6
1,6,6
1,7,4
1,8,3
2,1,2
2,2,1
2,3,10
2,4,7
2,5,8
2,6,9
2,7,7
2,8,3
3,1,9
3,2,11
3,3,9
3,4,10
3,5,8
3,6,10
3,7,10
3,8,9
3,9,10
3,10,11
3,11,10
3,12,10
3,13,9
3,14,8
3,15,8
4,1,9
4,2,10
4,3,11
4,4,9
4,5,10
4,6,12
4,7,11
4,8,9
4,9,9
4,10,9
4,11,11
4,12,10
4,13,9
4,14,10
4,15,9
5,1,8
5,2,10
5,3,13
5,4,9
5,5,11
5,6,9
5,7,9
5,8,10
5,9,9
5,10,11
5,11,8
5,12,7
5,13,9
5,14,10
5,15,10
6,1,10
6,2,9
6,3,11
6,4,9
6,5,9
6,6,12
6,7,10
6,8,10
6,9,9
6,10,9
6,11,10
6,12,10
6,13,10
6,14,12
6,15,13
7,1,11
7,2,10
7,3,10
7,4,9
7,5,8
7,6,12
7,7,9
7,8,8
7,9,9
7,10,9
7,11,9
7,12,10
7,13,9
7,14,12
7,15,11
8,1,8
8,2,8
8,3,9
8,4,9
8,5,9
8,6,10
8,7,8
8,8,8
8,9,8
8,10,11
8,11,11
8,12,8
8,13,7
8,14,10
8,15,9
9,1,10
9,2,9
9,3,7
9,4,10
9,5,9
9,6,8
9,7,11
9,8,10
9,9,11
9,10,9
9,11,8
9,12,11
9,13,7
9,14,9
9,15,10
10,1,7
10,2,9
10,3,10
10,4,8
10,5,10
10,6,10
10,7,9
10,8,9
10,9,9
10,10,11
10,11,11
10,12,15
10,13,10
10,14,12
10,15,8
11,1,13
11,2,12
11,3,11
11,4,10
11,5,11
11,6,9
11,7,10
11,8,11
11,9,12
11,10,12
11,11,10
11,12,9
11,13,9
11,14,9
11,15,10
12,1,10
12,2,9
12,3,8
12,4,11
12,5,9
12,6,10
12,7,11
12,8,10
12,9,8
12,10,7
12,11,9
12,12,9
12,13,6
12,14,7
12,15,7
13,1,8
13,2,8
13,3,7
13,4,7
13,5,7
13,6,6
13,7,10
13,8,11
13,9,9
13,10,10
13,11,8
13,12,9
13,13,10
13,14,7
13,15,11
14,1,10
14,2,8
14,3,10
14,4,8
14,5,13
14,6,8
14,7,11
14,8,8
14,9,12
14,10,7
14,11,8
14,12,7
14,13,8
14,14,7
14,15,8
15,1,10
15,2,8
15,3,10
15,4,8
15,5,11
15,6,11
15,7,10
15,8,7
15,9,8
15,10,8
15,11,10
15,12,9
15,13,9
15,14,9
15,15,8
16,1,10
16,2,6
16,3,9
16,4,12
16,5,9
16,6,11
16,7,9
16,8,11
16,9,9
16,10,10
16,11,8
16,12,7
16,13,9
16,14,10
16,15,9
17,1,13
17,2,14
17,3,10
17,4,9
17,5,10
17,6,9
17,7,8
17,8,11
17,9,12
17,10,9
17,11,11
17,12,12
17,13,8
17,14,9
17,15,11
18,1,8
18,2,10
18,3,11
18,4,10
18,5,12
18,6,10
18,7,10
18,8,11
18,9,12
18,10,10
18,11,11
18,12,10
18,13,10
18,14,8
18,15,10
19,1,12
19,2,11
19,3,14
19,4,11
19,5,9
19,6,9
19,7,12
19,8,11
19,9,14
19,10,9
19,11,10
19,12,7
19,13,11
19,14,13
19,15,11
20,1,9
20,2,10
20,3,11
20,4,9
20,5,7
20,6,10
20,7,12
20,8,12
20,9,9
20,10,10
20,11,9
20,12,10
20,13,7
20,14,11
20,15,12
21,1,11
21,2,11
21,3,9
21,4,8
21,5,11
21,6,12
21,7,10
21,8,12
21,9,9
21,10,9
21,11,6
21,12,12
21,13,11
21,14,12
21,15,10
22,1,11
22,2,12
22,3,7
22,4,9
22,5,10
22,6,11
22,7,12
22,8,10
22,9,8
22,10,11
22,11,11
22,12,9
22,13,12
22,14,9
22,15,10
23,1,9
23,2,9
23,3,12
23,4,11
23,5,11
23,6,11
23,7,10
23,8,9
23,9,9
23,10,8
23,11,7
23,12,6
23,13,8
23,14,8
23,15,10
24,1,12
24,2,8
24,3,8
24,4,11
24,5,9
24,6,11
24,7,10
24,8,12
24,9,10
24,10,9
24,11,8
24,12,11
24,13,8
24,14,11
24,15,12
25,1,8
25,2,11
25,3,11
25,4,7
25,5,8
25,6,11
25,7,12
25,8,10
25,9,9
25,10,9
25,11,11
25,12,10
25,13,10
25,14,10
25,15,10
26,1,13
26,2,9
26,3,8
26,4,13
26,5,9
26,6,9
26,7,8
26,8,15
26,9,10
26,10,9
26,11,9
26,12,8
26,13,7
26,14,9
26,15,11
27,1,10
27,2,8
27,3,8
27,4,7
27,5,8
27,6,9
27,7,10
27,8,10
27,9,11
27,10,11
27,11,10
27,12,7
27,13,9
27,14,9
27,15,14
28,1,11
28,2,11
28,3,8
28,4,9
28,5,11
28,6,10
28,7,12
28,8,7
28,9,9
28,10,10
28,11,10
28,12,7
28,13,6
28,14,11
28,15,7
29,1,10
29,2,10
29,3,8
29,4,11
29,5,11
29,6,10
29,7,10
29,8,8
29,9,8
29,10,8
29,11,11
29,12,10
29,13,8
29,14,8
29,15,9
30,1,9
30,2,11
30,3,12
30,4,11
30,5,13
30,6,9
30,7,12
30,8,12
30,9,12
30,10,12
30,11,13
30,12,14
30,13,14
30,14,13
30,15,11
31,1,10
31,2,11
31,3,10
31,4,7
31,5,8
31,6,7
31,7,7
31,8,8
31,9,9
31,10,6
31,11,8
31,12,10
31,13,9
31,14,8
31,15,10
32,1,10
32,2,13
32,3,8
32,4,9
32,5,11
32,6,9
32,7,11
32,8,9
32,9,9
32,10,7
32,11,8
32,12,9
32,13,8
32,14,11
32,15,9
33,1,12
33,2,12
33,3,9
33,4,11
33,5,9
33,6,8
33,7,12
33,8,10
33,9,12
33,10,9
33,11,10
33,12,11
33,13,11
33,14,8
33,15,12
34,1,10
34,2,13
34,3,9
34,4,13
34,5,8
34,6,11
34,7,9
34,8,8
34,9,9
34,10,8
34,11,8
34,12,10
34,13,9
34,14,10
34,15,8
35,1,11
35,2,10
35,3,12
35,4,9
35,5,9
35,6,11
35,7,11
35,8,7
35,9,11
35,10,10
35,11,10
35,12,11
35,13,8
35,14,8
35,15,9
36,1,10
36,2,11
36,3,12
36,4,8
36,5,13
36,6,11
36,7,12
36,8,11
36,9,10
36,10,10
36,11,13
36,12,13
36,13,12
36,14,13
36,15,11
37,1,8
37,2,10
37,3,12
37,4,9
37,5,12
37,6,9
37,7,11
37,8,12
37,9,9
37,10,13
37,11,11
37,12,12
37,13,12
37,14,10
37,15,12
38,1,7
38,2,10
38,3,10
38,4,10
38,5,9
38,6,10
38,7,9
38,8,10
38,9,11
38,10,11
38,11,10
38,12,9
38,13,10
38,14,10
38,15,11
39,1,7
39,2,10
39,3,8
39,4,7
39,5,9
39,6,9
39,7,8
39,8,8
39,9,9
39,10,9
39,11,12
39,12,7
39,13,10
39,14,10
39,15,8
40,1,12
40,2,11
40,3,9
40,4,10
40,5,9
40,6,9
40,7,10
40,8,9
40,9,11
40,10,8
40,11,9
40,12,8
40,13,7
40,14,8
40,15,9
41,1,8
41,2,10
41,3,11
41,4,9
41,5,9
41,6,8
41,7,10
41,8,7
41,9,7
41,10,6
41,11,6
41,12,9
41,13,6
41,14,7
41,15,8
42,1,13
42,2,9
42,3,10
42,4,9
42,5,12
42,6,10
42,7,13
42,8,11
42,9,14
42,10,14
42,11,11
42,12,11
42,13,12
42,14,9
42,15,11
43,1,10
43,2,6
43,3,10
43,4,10
43,5,10
43,6,11
43,7,9
43,8,11
43,9,11
43,10,14
43,11,12
43,12,9
43,13,7
43,14,8
43,15,11
44,1,11
44,2,12
44,3,10
44,4,11
44,5,9
44,6,11
44,7,10
44,8,13
44,9,9
44,10,9
44,11,11
44,12,8
44,13,10
44,14,9
44,15,10
45,1,7
45,2,8
45,3,9
45,4,9
45,5,10
45,6,9
45,7,9
45,8,7
45,9,8
45,10,10
45,11,11
45,12,7
45,13,10
45,14,9
45,15,10
46,1,10
46,2,9
46,3,8
46,4,9
46,5,9
46,6,10
46,7,9
46,8,9
46,9,7
46,10,6
46,11,6
46,12,9
46,13,8
46,14,7
46,15,8
47,1,9
47,2,10
47,3,12
47,4,12
47,5,9
47,6,12
47,7,7
47,8,9
47,9,9
47,10,12
47,11,10
47,12,8
47,13,11
47,14,9
47,15,12
48,1,9
48,2,9
48,3,9
48,4,11
48,5,11
48,6,9
48,7,9
48,8,8
48,9,12
48,10,10
48,11,11
48,12,7
48,13,10
48,14,10
48,15,10
49,1,11
49,2,9
49,3,10
49,4,12
49,5,11
49,6,11
49,7,10
49,8,10
49,9,10
49,10,9
49,11,12
49,12,11
49,13,11
49,14,13
49,15,7
50,1,3
50,2,1
50,3,13
50,4,10
50,5,12
50,6,13
50,7,10
50,8,13
50,9,10
50,10,11
50,11,12
50,12,13
50,13,12
50,14,12
50,15,12
51,1,9
51,2,11
51,3,11
51,4,8
51,5,9
51,6,11
51,7,8
51,8,10
51,9,8
51,10,6
51,11,7
51,12,10
51,13,10
51,14,8
51,15,8
52,1,9
52,2,6
52,3,5
52,4,12
52,5,10
52,6,10
52,7,10
52,8,10
52,9,10
52,10,10
52,11,10
52,12,7
52,13,6
52,14,7
52,15,8
53,1,11
53,2,10
53,3,11
53,4,9
53,5,10
53,6,9
53,7,10
53,8,14
53,9,11
53,10,11
53,11,10
53,12,11
53,13,11
53,14,13
53,15,11
54,1,11
54,2,11
54,3,12
54,4,10
54,5,12
54,6,10
54,7,11
54,8,11
54,9,13
54,10,10
54,11,10
54,12,8
54,13,10
54,14,12
54,15,14
55,1,12
55,2,10
55,3,10
55,4,9
55,5,11
55,6,12
55,7,11
55,8,8
55,9,7
55,10,8
55,11,9
55,12,10
55,13,9
55,14,9
55,15,10
56,1,8
56,2,12
56,3,14
56,4,6
56,5,11
56,6,9
56,7,8
56,8,10
56,9,12
56,10,8
56,11,9
56,12,10
56,13,9
56,14,10
56,15,8
57,1,8
57,2,8
57,3,9
57,4,8
57,5,10
57,6,9
57,7,8
57,8,8
57,9,9
57,10,9
57,11,12
57,12,12
57,13,12
57,14,6
57,15,8
58,1,15
58,2,10
58,3,9
58,4,11
58,5,11
58,6,7
58,7,10
58,8,8
58,9,12
58,10,11
58,11,10
58,12,10
58,13,9
58,14,8
