19074: هل
19075: ينظرون
19076: إلآ
19077: أن
19078: تأتيهم
19079: ٱلملـٓئكة
19080: أو
19081: يأتى
19082: ربك
19083: أو
19084: يأتى
19085: بعض
19086: ءايـت
19087: ربك
19088: يوم
19089: يأتى
19090: بعض
19091: ءايـت
19092: ربك
19093: لا
19094: ينفع
19095: نفسا
19096: إيمـنها
19097: لم
19098: تكن
19099: ءامنت
19100: من
19101: قبل
19102: أو
19103: كسبت
19104: فىٓ
19105: إيمـنها
19106: خيرا
19107: قل
19108: ٱنتظروٓا
19109: إنا
19110: منتظرون
19111: إن
19112: ٱلذين
19113: فرقوا
19114: دينهم
19115: وكانوا
19116: شيعا
19117: لست
19118: منهم
19119: فى
19120: شىء
19121: إنمآ
19122: أمرهم
19123: إلى
19124: ٱلله
19125: ثم
19126: ينبئهم
19127: بما
19128: كانوا
19129: يفعلون
19130: من
19131: جآء
19132: بٱلحسنة
19133: فله
19134: عشر
19135: أمثالها
19136: ومن
19137: جآء
19138: بٱلسيئة
19139: فلا
19140: يجزىٓ
19141: إلا
19142: مثلها
19143: وهم
19144: لا
19145: يظلمون
19146: قل
19147: إننى
19148: هدىنى
19149: ربىٓ
19150: إلى
19151: صرط
19152: مستقيم
19153: دينا
19154: قيما
19155: ملة
19156: إبرهيم
19157: حنيفا
19158: وما
19159: كان
19160: من
19161: ٱلمشركين
19162: قل
19163: إن
19164: صلاتى
19165: ونسكى
19166: ومحياى
19167: ومماتى
19168: لله
19169: رب
19170: ٱلعـلمين
19171: لا
19172: شريك
19173: له
19174: وبذلك
19175: أمرت
19176: وأنا
19177: أول
19178: ٱلمسلمين
19179: قل
19180: أغير
19181: ٱلله
19182: أبغى
19183: ربا
19184: وهو
19185: رب
19186: كل
19187: شىء
19188: ولا
19189: تكسب
19190: كل
19191: نفس
19192: إلا
19193: عليها
19194: ولا
19195: تزر
19196: وازرة
19197: وزر
19198: أخرى
19199: ثم
19200: إلى
19201: ربكم
19202: مرجعكم
19203: فينبئكم
19204: بما
19205: كنتم
19206: فيه
19207: تختلفون
19208: وهو
19209: ٱلذى
19210: جعلكم
19211: خلـٓئف
19212: ٱلأرض
19213: ورفع
19214: بعضكم
19215: فوق
19216: بعض
19217: درجـت
19218: ليبلوكم
19219: فى
19220: مآ
19221: ءاتىكم
19222: إن
19223: ربك
19224: سريع
19225: ٱلعقاب
19226: وإنه
19227: لغفور
19228: رحيم
