30329: ورودته
30330: ٱلتى
30331: هو
30332: فى
30333: بيتها
30334: عن
30335: نفسه
30336: وغلقت
30337: ٱلأبوب
30338: وقالت
30339: هيت
30340: لك
30341: قال
30342: معاذ
30343: ٱلله
30344: إنه
30345: ربىٓ
30346: أحسن
30347: مثواى
30348: إنه
30349: لا
30350: يفلح
30351: ٱلظـلمون
30352: ولقد
30353: همت
30354: به
30355: وهم
30356: بها
30357: لولآ
30358: أن
30359: رءا
30360: برهـن
30361: ربه
30362: كذلك
30363: لنصرف
30364: عنه
30365: ٱلسوٓء
30366: وٱلفحشآء
30367: إنه
30368: من
30369: عبادنا
30370: ٱلمخلصين
30371: وٱستبقا
30372: ٱلباب
30373: وقدت
30374: قميصه
30375: من
30376: دبر
30377: وألفيا
30378: سيدها
30379: لدا
30380: ٱلباب
30381: قالت
30382: ما
30383: جزآء
30384: من
30385: أراد
30386: بأهلك
30387: سوٓءا
30388: إلآ
30389: أن
30390: يسجن
30391: أو
30392: عذاب
30393: أليم
30394: قال
30395: هى
30396: رودتنى
30397: عن
30398: نفسى
30399: وشهد
30400: شاهد
30401: من
30402: أهلهآ
30403: إن
30404: كان
30405: قميصه
30406: قد
30407: من
30408: قبل
30409: فصدقت
30410: وهو
30411: من
30412: ٱلكـذبين
30413: وإن
30414: كان
30415: قميصه
30416: قد
30417: من
30418: دبر
30419: فكذبت
30420: وهو
30421: من
30422: ٱلصـدقين
30423: فلما
30424: رءا
30425: قميصه
30426: قد
30427: من
30428: دبر
30429: قال
30430: إنه
30431: من
30432: كيدكن
30433: إن
30434: كيدكن
30435: عظيم
30436: يوسف
30437: أعرض
30438: عن
30439: هـذا
30440: وٱستغفرى
30441: لذنبك
30442: إنك
30443: كنت
30444: من
30445: ٱلخاطـٔين
30446: وقال
30447: نسوة
30448: فى
30449: ٱلمدينة
30450: ٱمرأت
30451: ٱلعزيز
30452: ترود
30453: فتىها
30454: عن
30455: نفسه
30456: قد
30457: شغفها
30458: حبا
30459: إنا
30460: لنرىها
30461: فى
30462: ضلـل
30463: مبين
