38113: ودخل
38114: جنته
38115: وهو
38116: ظالم
38117: لنفسه
38118: قال
38119: مآ
38120: أظن
38121: أن
38122: تبيد
38123: هـذهٓ
38124: أبدا
38125: ومآ
38126: أظن
38127: ٱلساعة
38128: قآئمة
38129: ولئن
38130: رددت
38131: إلى
38132: ربى
38133: لأجدن
38134: خيرا
38135: منها
38136: منقلبا
38137: قال
38138: له
38139: صاحبه
38140: وهو
38141: يحاورهٓ
38142: أكفرت
38143: بٱلذى
38144: خلقك
38145: من
38146: تراب
38147: ثم
38148: من
38149: نطفة
38150: ثم
38151: سوىك
38152: رجلا
38153: لـكنا
38154: هو
38155: ٱلله
38156: ربى
38157: ولآ
38158: أشرك
38159: بربىٓ
38160: أحدا
38161: ولولآ
38162: إذ
38163: دخلت
38164: جنتك
38165: قلت
38166: ما
38167: شآء
38168: ٱلله
38169: لا
38170: قوة
38171: إلا
38172: بٱلله
38173: إن
38174: ترن
38175: أنا
38176: أقل
38177: منك
38178: مالا
38179: وولدا
38180: فعسى
38181: ربىٓ
38182: أن
38183: يؤتين
38184: خيرا
38185: من
38186: جنتك
38187: ويرسل
38188: عليها
38189: حسبانا
38190: من
38191: ٱلسمآء
38192: فتصبح
38193: صعيدا
38194: زلقا
38195: أو
38196: يصبح
38197: مآؤها
38198: غورا
38199: فلن
38200: تستطيع
38201: له
38202: طلبا
38203: وأحيط
38204: بثمره
38205: فأصبح
38206: يقلب
38207: كفيه
38208: على
38209: مآ
38210: أنفق
38211: فيها
38212: وهى
38213: خاوية
38214: على
38215: عروشها
38216: ويقول
38217: يـليتنى
38218: لم
38219: أشرك
38220: بربىٓ
38221: أحدا
38222: ولم
38223: تكن
38224: له
38225: فئة
38226: ينصرونه
38227: من
38228: دون
38229: ٱلله
38230: وما
38231: كان
38232: منتصرا
38233: هنالك
38234: ٱلولـية
38235: لله
38236: ٱلحق
38237: هو
38238: خير
38239: ثوابا
38240: وخير
38241: عقبا
38242: وٱضرب
38243: لهم
38244: مثل
38245: ٱلحيوة
38246: ٱلدنيا
38247: كمآء
38248: أنزلنـه
38249: من
38250: ٱلسمآء
38251: فٱختلط
38252: به
38253: نبات
38254: ٱلأرض
38255: فأصبح
38256: هشيما
38257: تذروه
38258: ٱلريـح
38259: وكان
38260: ٱلله
38261: على
38262: كل
38263: شىء
38264: مقتدرا
