38813: إنا
38814: مكنا
38815: له
38816: فى
38817: ٱلأرض
38818: وءاتينـه
38819: من
38820: كل
38821: شىء
38822: سببا
38823: فأتبع
38824: سببا
38825: حتىٓ
38826: إذا
38827: بلغ
38828: مغرب
38829: ٱلشمس
38830: وجدها
38831: تغرب
38832: فى
38833: عين
38834: حمئة
38835: ووجد
38836: عندها
38837: قوما
38838: قلنا
38839: يـذا
38840: ٱلقرنين
38841: إمآ
38842: أن
38843: تعذب
38844: وإمآ
38845: أن
38846: تتخذ
38847: فيهم
38848: حسنا
38849: قال
38850: أما
38851: من
38852: ظلم
38853: فسوف
38854: نعذبه
38855: ثم
38856: يرد
38857: إلى
38858: ربه
38859: فيعذبه
38860: عذابا
38861: نكرا
38862: وأما
38863: من
38864: ءامن
38865: وعمل
38866: صـلحا
38867: فله
38868: جزآء
38869: ٱلحسنى
38870: وسنقول
38871: له
38872: من
38873: أمرنا
38874: يسرا
38875: ثم
38876: أتبع
38877: سببا
38878: حتىٓ
38879: إذا
38880: بلغ
38881: مطلع
38882: ٱلشمس
38883: وجدها
38884: تطلع
38885: على
38886: قوم
38887: لم
38888: نجعل
38889: لهم
38890: من
38891: دونها
38892: سترا
38893: كذلك
38894: وقد
38895: أحطنا
38896: بما
38897: لديه
38898: خبرا
38899: ثم
38900: أتبع
38901: سببا
38902: حتىٓ
38903: إذا
38904: بلغ
38905: بين
38906: ٱلسدين
38907: وجد
38908: من
38909: دونهما
38910: قوما
38911: لا
38912: يكادون
38913: يفقهون
38914: قولا
38915: قالوا
38916: يـذا
38917: ٱلقرنين
38918: إن
38919: يأجوج
38920: ومأجوج
38921: مفسدون
38922: فى
38923: ٱلأرض
38924: فهل
38925: نجعل
38926: لك
38927: خرجا
38928: علىٓ
38929: أن
38930: تجعل
38931: بيننا
38932: وبينهم
38933: سدا
38934: قال
38935: ما
38936: مكنى
38937: فيه
38938: ربى
38939: خير
38940: فأعينونى
38941: بقوة
38942: أجعل
38943: بينكم
38944: وبينهم
38945: ردما
38946: ءاتونى
38947: زبر
38948: ٱلحديد
38949: حتىٓ
38950: إذا
38951: ساوى
38952: بين
38953: ٱلصدفين
38954: قال
38955: ٱنفخوا
38956: حتىٓ
38957: إذا
38958: جعله
38959: نارا
38960: قال
38961: ءاتونىٓ
38962: أفرغ
38963: عليه
38964: قطرا
38965: فما
38966: ٱسطـعوٓا
38967: أن
38968: يظهروه
38969: وما
38970: ٱستطـعوا
38971: له
38972: نقبا
