39126: كٓهيعٓصٓ
39127: ذكر
39128: رحمت
39129: ربك
39130: عبده
39131: زكريآ
39132: إذ
39133: نادى
39134: ربه
39135: ندآء
39136: خفيا
39137: قال
39138: رب
39139: إنى
39140: وهن
39141: ٱلعظم
39142: منى
39143: وٱشتعل
39144: ٱلرأس
39145: شيبا
39146: ولم
39147: أكن
39148: بدعآئك
39149: رب
39150: شقيا
39151: وإنى
39152: خفت
39153: ٱلمولى
39154: من
39155: ورآءى
39156: وكانت
39157: ٱمرأتى
39158: عاقرا
39159: فهب
39160: لى
39161: من
39162: لدنك
39163: وليا
39164: يرثنى
39165: ويرث
39166: من
39167: ءال
39168: يعقوب
39169: وٱجعله
39170: رب
39171: رضيا
39172: يـزكريآ
39173: إنا
39174: نبشرك
39175: بغلـم
39176: ٱسمه
39177: يحيى
39178: لم
39179: نجعل
39180: له
39181: من
39182: قبل
39183: سميا
39184: قال
39185: رب
39186: أنى
39187: يكون
39188: لى
39189: غلـم
39190: وكانت
39191: ٱمرأتى
39192: عاقرا
39193: وقد
39194: بلغت
39195: من
39196: ٱلكبر
39197: عتيا
39198: قال
39199: كذلك
39200: قال
39201: ربك
39202: هو
39203: على
39204: هين
39205: وقد
39206: خلقتك
39207: من
39208: قبل
39209: ولم
39210: تك
39211: شيـٔا
39212: قال
39213: رب
39214: ٱجعل
39215: لىٓ
39216: ءاية
39217: قال
39218: ءايتك
39219: ألا
39220: تكلم
39221: ٱلناس
39222: ثلـث
39223: ليال
39224: سويا
39225: فخرج
39226: على
39227: قومه
39228: من
39229: ٱلمحراب
39230: فأوحىٓ
39231: إليهم
39232: أن
39233: سبحوا
39234: بكرة
39235: وعشيا
