40872: فأخرج
40873: لهم
40874: عجلا
40875: جسدا
40876: له
40877: خوار
40878: فقالوا
40879: هـذآ
40880: إلـهكم
40881: وإلـه
40882: موسى
40883: فنسى
40884: أفلا
40885: يرون
40886: ألا
40887: يرجع
40888: إليهم
40889: قولا
40890: ولا
40891: يملك
40892: لهم
40893: ضرا
40894: ولا
40895: نفعا
40896: ولقد
40897: قال
40898: لهم
40899: هـرون
40900: من
40901: قبل
40902: يـقوم
40903: إنما
40904: فتنتم
40905: به
40906: وإن
40907: ربكم
40908: ٱلرحمـن
40909: فٱتبعونى
40910: وأطيعوٓا
40911: أمرى
40912: قالوا
40913: لن
40914: نبرح
40915: عليه
40916: عـكفين
40917: حتى
40918: يرجع
40919: إلينا
40920: موسى
40921: قال
40922: يـهـرون
40923: ما
40924: منعك
40925: إذ
40926: رأيتهم
40927: ضلوٓا
40928: ألا
40929: تتبعن
40930: أفعصيت
40931: أمرى
40932: قال
40933: يبنؤم
40934: لا
40935: تأخذ
40936: بلحيتى
40937: ولا
40938: برأسىٓ
40939: إنى
40940: خشيت
40941: أن
40942: تقول
40943: فرقت
40944: بين
40945: بنىٓ
40946: إسرٓءيل
40947: ولم
40948: ترقب
40949: قولى
40950: قال
40951: فما
40952: خطبك
40953: يـسـمرى
40954: قال
40955: بصرت
40956: بما
40957: لم
40958: يبصروا
40959: به
40960: فقبضت
40961: قبضة
40962: من
40963: أثر
40964: ٱلرسول
40965: فنبذتها
40966: وكذلك
40967: سولت
40968: لى
40969: نفسى
40970: قال
40971: فٱذهب
40972: فإن
40973: لك
40974: فى
40975: ٱلحيوة
40976: أن
40977: تقول
40978: لا
40979: مساس
40980: وإن
40981: لك
40982: موعدا
40983: لن
40984: تخلفه
40985: وٱنظر
40986: إلىٓ
40987: إلـهك
40988: ٱلذى
40989: ظلت
40990: عليه
40991: عاكفا
40992: لنحرقنه
40993: ثم
40994: لننسفنه
40995: فى
40996: ٱليم
40997: نسفا
40998: إنمآ
40999: إلـهكم
41000: ٱلله
41001: ٱلذى
41002: لآ
41003: إلـه
41004: إلا
41005: هو
41006: وسع
41007: كل
41008: شىء
41009: علما
