62039: إليه
62040: يرد
62041: علم
62042: ٱلساعة
62043: وما
62044: تخرج
62045: من
62046: ثمرت
62047: من
62048: أكمامها
62049: وما
62050: تحمل
62051: من
62052: أنثى
62053: ولا
62054: تضع
62055: إلا
62056: بعلمه
62057: ويوم
62058: يناديهم
62059: أين
62060: شركآءى
62061: قالوٓا
62062: ءاذنـك
62063: ما
62064: منا
62065: من
62066: شهيد
62067: وضل
62068: عنهم
62069: ما
62070: كانوا
62071: يدعون
62072: من
62073: قبل
62074: وظنوا
62075: ما
62076: لهم
62077: من
62078: محيص
62079: لا
62080: يسـٔم
62081: ٱلإنسـن
62082: من
62083: دعآء
62084: ٱلخير
62085: وإن
62086: مسه
62087: ٱلشر
62088: فيـٔوس
62089: قنوط
62090: ولئن
62091: أذقنـه
62092: رحمة
62093: منا
62094: من
62095: بعد
62096: ضرآء
62097: مسته
62098: ليقولن
62099: هـذا
62100: لى
62101: ومآ
62102: أظن
62103: ٱلساعة
62104: قآئمة
62105: ولئن
62106: رجعت
62107: إلى
62108: ربىٓ
62109: إن
62110: لى
62111: عنده
62112: للحسنى
62113: فلننبئن
62114: ٱلذين
62115: كفروا
62116: بما
62117: عملوا
62118: ولنذيقنهم
62119: من
62120: عذاب
62121: غليظ
62122: وإذآ
62123: أنعمنا
62124: على
62125: ٱلإنسـن
62126: أعرض
62127: ونـٔا
62128: بجانبه
62129: وإذا
62130: مسه
62131: ٱلشر
62132: فذو
62133: دعآء
62134: عريض
62135: قل
62136: أرءيتم
62137: إن
62138: كان
62139: من
62140: عند
62141: ٱلله
62142: ثم
62143: كفرتم
62144: به
62145: من
62146: أضل
62147: ممن
62148: هو
62149: فى
62150: شقاق
62151: بعيد
62152: سنريهم
62153: ءايـتنا
62154: فى
62155: ٱلـٔافاق
62156: وفىٓ
62157: أنفسهم
62158: حتى
62159: يتبين
62160: لهم
62161: أنه
62162: ٱلحق
62163: أولم
62164: يكف
62165: بربك
62166: أنه
62167: على
62168: كل
62169: شىء
62170: شهيد
62171: ألآ
62172: إنهم
62173: فى
62174: مرية
62175: من
62176: لقآء
62177: ربهم
62178: ألآ
62179: إنه
62180: بكل
62181: شىء
62182: محيط
